Date,Dividend,Ticker
2026-01-30,1.42,TXN
2025-03-10,2.1,UNH
2025-06-16,2.21,UNH
2025-09-15,2.21,UNH
2025-12-08,2.21,UNH
2026-03-09,2.21,UNH
2025-02-28,1.34,UNP
2025-05-30,1.34,UNP
2025-08-29,1.38,UNP
2025-12-05,1.38,UNP
2026-02-27,1.38,UNP
2025-02-18,1.64,UPS
2025-05-19,1.64,UPS
2025-08-18,1.64,UPS
2025-11-17,1.64,UPS
2026-02-17,1.64,UPS
2025-03-31,0.5,USB
2025-06-30,0.5,USB
2025-09-30,0.52,USB
2025-12-31,0.52,USB
2025-02-11,0.59,V
2025-05-13,0.59,V
2025-08-12,0.59,V
2025-11-12,0.67,V
2026-02-10,0.67,V
2025-01-10,0.678,VZ
2025-04-10,0.678,VZ
2025-07-10,0.678,VZ
2025-10-10,0.69,VZ
2026-01-12,0.69,VZ
2025-02-07,0.4,WFC
2025-05-09,0.4,WFC
2025-08-08,0.45,WFC
2025-11-07,0.45,WFC
2026-02-06,0.45,WFC
2025-03-21,0.235,WMT
2025-05-09,0.235,WMT
2025-08-15,0.235,WMT
2025-12-12,0.235,WMT
2026-03-20,0.248,WMT
2025-02-12,0.99,XOM
2025-05-15,0.99,XOM
2025-08-15,0.99,XOM
2025-11-14,1.03,XOM
2026-02-12,1.03,XOM
