Date,Ticker,Dividend
2025-05-23,RTX,0.68
2025-08-15,RTX,0.68
2025-11-21,RTX,0.68
2026-02-20,RTX,0.68
2025-02-14,SBUX,0.61
2025-05-16,SBUX,0.61
2025-08-15,SBUX,0.61
2025-11-14,SBUX,0.62
2026-02-13,SBUX,0.62
2025-02-14,SCHW,0.27
2025-05-09,SCHW,0.27
2025-08-08,SCHW,0.27
2025-11-14,SCHW,0.27
2026-02-13,SCHW,0.32
2025-02-18,SO,0.72
2025-05-19,SO,0.74
2025-08-18,SO,0.74
2025-11-17,SO,0.74
2026-02-17,SO,0.74
2025-03-10,SPG,2.1
2025-06-09,SPG,2.1
2025-09-09,SPG,2.15
2025-12-10,SPG,2.2
2026-03-10,SPG,2.2
2025-01-10,T,0.278
2025-04-10,T,0.278
2025-07-10,T,0.278
2025-10-10,T,0.278
2026-01-12,T,0.278
2025-02-12,TGT,1.12
2025-05-14,TGT,1.12
2025-08-13,TGT,1.14
2025-11-12,TGT,1.14
2026-02-11,TGT,1.14
2025-03-14,TMO,0.43
2025-06-13,TMO,0.43
2025-09-15,TMO,0.43
2025-12-15,TMO,0.43
2026-03-13,TMO,0.47
2025-02-28,TMUS,0.88
2025-05-30,TMUS,0.88
2025-08-29,TMUS,0.88
2025-11-26,TMUS,1.02
2026-02-27,TMUS,1.02
2025-01-31,TXN,1.36
2025-04-30,TXN,1.36
2025-07-31,TXN,1.36
2025-10-31,TXN,1.42
2026-01-30,TXN,1.42
2025-03-10,UNH,2.1
2025-06-16,UNH,2.21
2025-09-15,UNH,2.21
2025-12-08,UNH,2.21
2026-03-09,UNH,2.21
2025-02-28,UNP,1.34
2025-05-30,UNP,1.34
2025-08-29,UNP,1.38
2025-12-05,UNP,1.38
2026-02-27,UNP,1.38
2025-02-18,UPS,1.64
2025-05-19,UPS,1.64
2025-08-18,UPS,1.64
2025-11-17,UPS,1.64
2026-02-17,UPS,1.64
2025-03-31,USB,0.5
2025-06-30,USB,0.5
2025-09-30,USB,0.52
2025-12-31,USB,0.52
2025-02-11,V,0.59
2025-05-13,V,0.59
2025-08-12,V,0.59
2025-11-12,V,0.67
2026-02-10,V,0.67
2025-01-10,VZ,0.678
2025-04-10,VZ,0.678
2025-07-10,VZ,0.678
2025-10-10,VZ,0.69
2026-01-12,VZ,0.69
2025-02-07,WFC,0.4
